Query,Dataset,Failure Type,Doc in Top-5
carbohydrates are stored in the liver and muscles in the form of,ms_marco,Semantic Miss,0
what is the form of the raven,ms_marco,Ranking Error,1
hormone that stimulates the development of the immune system and the production of lymphocytes,ms_marco,Ranking Error,1
socialist nations adopt features of capitalism. This theory is referred to as ________. quizlet,ms_marco,Lexical Miss,0
what is a cluster headache,ms_marco,Ranking Error,1
what are the four types of dissociative disorders,ms_marco,Ranking Error,1
where is bard college located,ms_marco,Ranking Error,1
is hvar croatia near split,ms_marco,Ranking Error,1
what best describes connective tissue,ms_marco,Ranking Error,1
stanza what is it,ms_marco,Ranking Error,1
is als disease curable,ms_marco,Ranking Error,1
on average how often is someone online a day,ms_marco,Ranking Error,1
A kilocalorie of heat is required to raise the temperature of,ms_marco,Semantic Miss,0
what year did the constitutional convention meet,ms_marco,Ranking Error,1
what does superficial muscles mean,ms_marco,Ranking Error,1
does alcohol aggravate osteoarthritis,ms_marco,Ranking Error,1
asphalt cost,ms_marco,Semantic Miss,0
what are some uses for einsteinium,ms_marco,Ranking Error,1
causes of facial numbness,ms_marco,Ranking Error,1
what type of chemical bond has the most potential energy stored in it,ms_marco,Ranking Error,1
definition of horderves,ms_marco,Ranking Error,1
what is the name of the sugar molecule in the dna helix,ms_marco,Ranking Error,1
what is mediterranean food,ms_marco,Ranking Error,1
does the stomach digest food,ms_marco,Semantic Miss,0
how long do i have to respond to a counter claim in supreme court,ms_marco,Semantic Miss,0
what qualifications do you need to be an occupational therapist,ms_marco,Ranking Error,1
where canary islands is located,ms_marco,Ranking Error,1
cost to build garage office,ms_marco,Ranking Error,1
what is the average salary of pilot in india,ms_marco,Semantic Miss,0
what is taxa,ms_marco,Lexical Miss,0
explain why italy was the birthplace of the renaissance,ms_marco,Ranking Error,1
what is the aqueous humor secreted by,ms_marco,Ranking Error,1
what biome has plants spaced far apart,ms_marco,Ranking Error,1
what are bairdi crab,ms_marco,Ranking Error,1
gestation period horses and cows,ms_marco,Ranking Error,1
what is love susan polis schutz,ms_marco,Ranking Error,1
Simplification definition,ms_marco,Ranking Error,1
what are the parathyroid hormones,ms_marco,Ranking Error,1
how is carbon monoxide administered,ms_marco,Ranking Error,1
how much do tuna fishers first mates make,ms_marco,Ranking Error,1
mesentery definition,ms_marco,Ranking Error,1
what organic compound makes up nails,ms_marco,Ranking Error,1
what is combustion in chemistry,ms_marco,Ranking Error,1
where does bachata originate from,ms_marco,Ranking Error,1
costco cost of copying,ms_marco,Ranking Error,1
does my computer have a sound card,ms_marco,Ranking Error,1
what causes warts on cattle,ms_marco,Ranking Error,1
what do lymphatic vessels do in the immune system,ms_marco,Ranking Error,1
is dubai a desert,ms_marco,Ranking Error,1
cost of lucentis injection,ms_marco,Ranking Error,1
what is passivity,ms_marco,Ranking Error,1
what was the purpose of the transcontinental railroad,ms_marco,Semantic Miss,0
what does corporate culture mean,ms_marco,Ranking Error,1
what is whistler village,ms_marco,Semantic Miss,0
where did the name bismuth come from,ms_marco,Ranking Error,1
a common sodium deficiency is muscle cramps,ms_marco,Ranking Error,1
what can i put on the dishwasher directions to make it look black instead of white,ms_marco,Ranking Error,1
what is sonnet,ms_marco,Semantic Miss,0
cost of garage door openers installed,ms_marco,Lexical Miss,0
good soluble fiber sources,ms_marco,Ranking Error,1
employment pass malaysia for salary range,ms_marco,Semantic Miss,0
why do my eyes look squinty in pictures,ms_marco,Semantic Miss,0
why are venus fly traps carnivores,ms_marco,Lexical Miss,0
what is belching,ms_marco,Ranking Error,1
how long can a body survive without food and water,ms_marco,Ranking Error,1
what does malaika mean,ms_marco,Ranking Error,1
what kind of portraits does frida kahlo paint,ms_marco,Ranking Error,1
when was novel kite runner by hosseini published,ms_marco,Ranking Error,1
putting netflix on dish network,ms_marco,Ranking Error,1
what is the benefit of having a dark green vegetables,ms_marco,Ranking Error,1
dna condenses during what phase,ms_marco,Semantic Miss,0
what is a cipher,ms_marco,Ranking Error,1
what particles make up a proton,ms_marco,Ranking Error,1
what is the stomach function,ms_marco,Ranking Error,1
flg mutation ethnicity,ms_marco,Ranking Error,1
what is symbol of venus,ms_marco,Ranking Error,1
how much does an estate lawyer cost,ms_marco,Ranking Error,1
what are the minerals in our food for,ms_marco,Ranking Error,1
how long do boiled eggs stay good for in the fridge,ms_marco,Ranking Error,1
when was the television invented,ms_marco,Semantic Miss,0
What are the names of the salivary glands located anterior to the ear,ms_marco,Ranking Error,1
how much is a superintendent salary in new york,ms_marco,Ranking Error,1
what is interpreter,ms_marco,Ranking Error,1
is sicl4 nonpolar,ms_marco,Ranking Error,1
lymphoid tissue definition,ms_marco,Ranking Error,1
what is atomic number radiology,ms_marco,Ranking Error,1
starting salary for dialysis nurse,ms_marco,Semantic Miss,0
what did the jay treaty do for the americans,ms_marco,Lexical Miss,0
what does dandelion root do,ms_marco,Ranking Error,1
what is clobetasol propionate ointment for,ms_marco,Ranking Error,1
what is a retainer fee,ms_marco,Ranking Error,1
how to cook pork belly strips in oven,ms_marco,Ranking Error,1
unt average annual cost,ms_marco,Ranking Error,1
what is smelting,ms_marco,Semantic Miss,0
what does signior mean,ms_marco,Ranking Error,1
how to get mozilla firefox,ms_marco,Ranking Error,1
what muscles does deadlift work,ms_marco,Ranking Error,1
average cost to screen in a patio,ms_marco,Semantic Miss,0
what is the main goal of any business,ms_marco,Semantic Miss,0
is foxtail fern poisonous,ms_marco,Lexical Miss,0
which nationality if the name chudy,ms_marco,Ranking Error,1
is jutland denmark,ms_marco,Ranking Error,1
what are ribosomes composed of,ms_marco,Semantic Miss,0
what is the difference between osteoarthritis and rheumatoid arthritis,ms_marco,Ranking Error,1
what are the symptoms of a broken hip,ms_marco,Ranking Error,1
what temperature can aloe survive,ms_marco,Ranking Error,1
price for chaco canyon entrance fee,ms_marco,Ranking Error,1
what is alcantara leather,ms_marco,Ranking Error,1
can you heal knuckles arthritis,ms_marco,Ranking Error,1
what is camu camu powder,ms_marco,Ranking Error,1
is yellow loosestrife invasive,ms_marco,Semantic Miss,0
what is the role of the sodium chloride detergent solution in the dna extraction process,ms_marco,Ranking Error,1
amount of money paid to president once he leaves office,ms_marco,Lexical Miss,0
what is star anise tea good for,ms_marco,Ranking Error,1
how long does it take to cook a turkey on gas grill,ms_marco,Semantic Miss,0
what is the si base unit of temperature,ms_marco,Ranking Error,1
disadvantages mmr vaccine,ms_marco,Ranking Error,1
what kind of glue can you use to apply fabric to foam board,ms_marco,Ranking Error,1
when did the battle of the midway happen,ms_marco,Ranking Error,1
what is bundesliga,ms_marco,Ranking Error,1
define stress,ms_marco,Ranking Error,1
bacterial immune system,ms_marco,Lexical Miss,0
what album is enter sandman on by metallica,ms_marco,Semantic Miss,0
how much does it cost to install central heat and air,ms_marco,Ranking Error,1
cystic fibrosis location of genetic cause,ms_marco,Ranking Error,1
what does vitamins do,ms_marco,Ranking Error,1
How long do you broil scallops wrapped in bacon,ms_marco,Ranking Error,1
plasma definition,ms_marco,Ranking Error,1
where is esophagus located,ms_marco,Ranking Error,1
where does seaweed grow,ms_marco,Ranking Error,1
why are dragonflies called mosquito hawks,ms_marco,Ranking Error,1
what are the uses of radon,ms_marco,Semantic Miss,0
how long should i keep insurance eobs,ms_marco,Ranking Error,1
where are dna nucleotides found,ms_marco,Ranking Error,1
when are babies supposed to stand with help,ms_marco,Ranking Error,1
what is the function of the reticular activating system,ms_marco,Ranking Error,1
is protease the same as pepsin,ms_marco,Ranking Error,1
how much can a recovery coach make in nj,ms_marco,Ranking Error,1
why does a protein have a great potential for variation of structure,ms_marco,Ranking Error,1
what does school governance mean,ms_marco,Ranking Error,1
what is a lease agreement,ms_marco,Ranking Error,1
what is woolworths known for,ms_marco,Ranking Error,1
what is the scientific species of wolverine,ms_marco,Semantic Miss,0
how much does it cost to go paintballing in atlanta,ms_marco,Ranking Error,1
the hybridization of br in brf3 is,ms_marco,Lexical Miss,0
convenience fee definitions,ms_marco,Ranking Error,1
who wrote the movie purple rain,ms_marco,Lexical Miss,0
what area is considered east texas,ms_marco,Lexical Miss,0
Which is the best definition of food insecurity?,ms_marco,Ranking Error,1
what was the name of the earthquake that destroyed the colosseum,ms_marco,Semantic Miss,0
how much money do you spend on fast food,ms_marco,Ranking Error,1
where is zadar in croatia,ms_marco,Ranking Error,1
what is fiber reinforced polymer,ms_marco,Ranking Error,1
how long does a std test take to come back,ms_marco,Ranking Error,1
what is donburi,ms_marco,Ranking Error,1
why does shoreline erosion occur,ms_marco,Lexical Miss,0
meaning of the name lindze,ms_marco,Ranking Error,1
famous actors born in alaska,ms_marco,Semantic Miss,0
why are they called fire called fireflies?,ms_marco,Ranking Error,1
what is pygeum used for,ms_marco,Ranking Error,1
different types of rice good for diabetes,ms_marco,Semantic Miss,0
what is charreria,ms_marco,Ranking Error,1
nutrition mushrooms cooked,ms_marco,Semantic Miss,0
styx songs,ms_marco,Semantic Miss,0
what is a basilar migraine,ms_marco,Ranking Error,1
what is bax,ms_marco,Ranking Error,1
what is the temperature range for yucca plants,ms_marco,Ranking Error,1
who sang please release me first,ms_marco,Ranking Error,1
what is a PICO,ms_marco,Ranking Error,1
is cala mayor quiet,ms_marco,Ranking Error,1
what is antacid made of,ms_marco,Lexical Miss,0
A paragraph explaining dna and what is does,ms_marco,Ranking Error,1
pancreas is an organ that regulate blood glucose levels,ms_marco,Ranking Error,1
average annual salary for a teacher,ms_marco,Ranking Error,1
are mb bigger than kb,ms_marco,Ranking Error,1
can i still use outdated sunscreen,ms_marco,Ranking Error,1
where does the lateral cutaneous nerve of the arm come from,ms_marco,Ranking Error,1
what is a novel,ms_marco,Ranking Error,1
what does mrna do,ms_marco,Ranking Error,1
what are permanent joints,ms_marco,Ranking Error,1
is gallbladder a bile duct,ms_marco,Ranking Error,1
define basal medium,ms_marco,Ranking Error,1
what is jeeva samadhi,ms_marco,Semantic Miss,0
how much money does a nascar driver make,ms_marco,Ranking Error,1
transcription unit definition biology,ms_marco,Ranking Error,1
what is lacunar infarct,ms_marco,Ranking Error,1
what is demographic segmentation definition,ms_marco,Ranking Error,1
what does vato mean,ms_marco,Ranking Error,1
how fast does a jetliner go,ms_marco,Ranking Error,1
what cells contain hemoglobin genes,ms_marco,Ranking Error,1
a contagious skin infection caused by fungi is,ms_marco,Ranking Error,1
does nioxin work on patch hair loss,ms_marco,Semantic Miss,0
how to get a real estate license in alabama,ms_marco,Ranking Error,1
what is purpose of augmented voltage leads,ms_marco,Lexical Miss,0
what is nrf2 activator,ms_marco,Ranking Error,1
how to get dog hair off of clothes,ms_marco,Semantic Miss,0
where are lipids digested,ms_marco,Ranking Error,1
the gallbladder is located in the______ margin of the liver,ms_marco,Ranking Error,1
what is greta van susteren salary,ms_marco,Ranking Error,1
how to bake pork,ms_marco,Ranking Error,1
how did the series prison break end,ms_marco,Lexical Miss,0
subjective meaning,ms_marco,Ranking Error,1
what kind of dogs are boxers,ms_marco,Semantic Miss,0
is there a medication called pileri?,ms_marco,Lexical Miss,0
how much do accountants make,ms_marco,Ranking Error,1
food groups and what they do for your body,ms_marco,Ranking Error,1
How Much Does IVF Cost,ms_marco,Ranking Error,1
how fast does bamboo grow in a day,ms_marco,Ranking Error,1
currency symbol for australian dollar,ms_marco,Ranking Error,1
where is marmaris in turkey,ms_marco,Ranking Error,1
arthritis caused by ulcerative colitis,ms_marco,Ranking Error,1
what is a duchy,ms_marco,Ranking Error,1
One degree Celsius indicates the same temperature change as,ms_marco,Ranking Error,1
can you go for look around at grand floridian disney,ms_marco,Ranking Error,1
calcium score test cost,ms_marco,Ranking Error,1
What is another name for tomatoes and okra,ms_marco,Semantic Miss,0
reduce blood pressure naturally fast,ms_marco,Semantic Miss,0
what is average hourly pay of a burger flipper in fast food,ms_marco,Semantic Miss,0
average us employee salary,ms_marco,Ranking Error,1
how much ignition switch cost,ms_marco,Lexical Miss,0
tia meaning,ms_marco,Ranking Error,1
internal cost definition,ms_marco,Ranking Error,1
what are watersheds,ms_marco,Ranking Error,1
what does the american pika do,ms_marco,Semantic Miss,0
difference between compressional and transverse waves,ms_marco,Ranking Error,1
what is tocopherols in food,ms_marco,Ranking Error,1
does mophie work with samsung phone,ms_marco,Ranking Error,1
how much does coolsculpting cost per session,ms_marco,Lexical Miss,0
what is the panda's habitat like in the wild,ms_marco,Ranking Error,1
how much do you make in a resort as a massage therapist,ms_marco,Semantic Miss,0
import tax from china to usa,ms_marco,Ranking Error,1
temp rating for pvc,ms_marco,Ranking Error,1
where puerto vallarta is located,ms_marco,Ranking Error,1
is it best to withdraw from college before being expelled,ms_marco,Semantic Miss,0
what is cued articulation,ms_marco,Ranking Error,1
anaerobic cellular respiration,ms_marco,Semantic Miss,0
how long do shingles spots last,ms_marco,Semantic Miss,0
labor cost per square foot to install laminate flooring,ms_marco,Ranking Error,1
how many carbs should a diabetic have in one meal,ms_marco,Ranking Error,1
what time does the masters air,ms_marco,Ranking Error,1
what is vds approval,ms_marco,Ranking Error,1
how long does it take to receive student loan,ms_marco,Ranking Error,1
potassium deficiency hereditary,ms_marco,Ranking Error,1
do brain aneurysms grow,ms_marco,Ranking Error,1
do u get charged extra for using your debit card as a credit card,ms_marco,Ranking Error,1
what are intercostal muscles,ms_marco,Semantic Miss,0
how much does it cost to go to a chiropractor,ms_marco,Ranking Error,1
average salary for hgv driver,ms_marco,Ranking Error,1
what is a policy document,ms_marco,Ranking Error,1
what is the function of aorta and pulmonary trunk,ms_marco,Ranking Error,1
foods that cause constipation list,ms_marco,Ranking Error,1
life vs death cost,ms_marco,Lexical Miss,0
how long can steak stay in the fridge,ms_marco,Ranking Error,1
what are the active ingredients in flonase,ms_marco,Ranking Error,1
how much does an animal shelter worker get paid,ms_marco,Ranking Error,1
adhira name meaning,ms_marco,Ranking Error,1
how long do black labs typically live,ms_marco,Ranking Error,1
what kind of climate does ginger grow in,ms_marco,Ranking Error,1
what is bangladeshi tehri food,ms_marco,Ranking Error,1
nalbuphine dosage,ms_marco,Ranking Error,1
which kingdom do single celled organisms that do not have a nucleus belong in,ms_marco,Ranking Error,1
bad behaviour in schools statistics,ms_marco,Semantic Miss,0
what does amino fuel do,ms_marco,Semantic Miss,0
per diem deduction irs,ms_marco,Ranking Error,1
what is chemotaxis,ms_marco,Semantic Miss,0
is georgia hilly,ms_marco,Ranking Error,1
how big is a nanometer,ms_marco,Ranking Error,1
who is affected by scarlet fever,ms_marco,Ranking Error,1
how successful is back surgery,ms_marco,Ranking Error,1
what time does ebenefits update,ms_marco,Ranking Error,1
what is the chemical name for limestone,ms_marco,Ranking Error,1
average price of gas in tennessee,ms_marco,Ranking Error,1
treatment for palatal expansion,ms_marco,Ranking Error,1
what classifies as plankton,ms_marco,Ranking Error,1
where is brown algae found,ms_marco,Ranking Error,1
where are Persians from,ms_marco,Ranking Error,1
what causes a dislocated kneecap,ms_marco,Ranking Error,1
what is the life expectancy of a microwave oven,ms_marco,Ranking Error,1
can heat wave cause mouth ulcers,ms_marco,Ranking Error,1
how to get rid of staff infection,ms_marco,Ranking Error,1
how long does a raincheck from tractor supply last?,ms_marco,Ranking Error,1
what is location based marketing,ms_marco,Semantic Miss,0
can other fish be placed with bala sharks,ms_marco,Ranking Error,1
what is the purpose of iodoform reaction,ms_marco,Ranking Error,1
who was joseph smith,ms_marco,Lexical Miss,0
is norvasc a blood thinner,ms_marco,Ranking Error,1
what is the equation for calculating density,ms_marco,Semantic Miss,0
does cat litter reduce humidity in home,ms_marco,Ranking Error,1
what is a broken clavicle,ms_marco,Ranking Error,1
ethics is the study of what is,ms_marco,Semantic Miss,0
what is chamoy,ms_marco,Ranking Error,1
what is considered a good lsat score,ms_marco,Ranking Error,1
highest salaries in chemistry,ms_marco,Ranking Error,1
how much do forensic crime scene investigators make,ms_marco,Ranking Error,1
where is iceland on the world map,ms_marco,Ranking Error,1
who money is worth the most,ms_marco,Semantic Miss,0
do you have to be smart to be an ultrasound tech,ms_marco,Ranking Error,1
where is papaya found,ms_marco,Ranking Error,1
do intralipids cause infections,ms_marco,Semantic Miss,0
Myelinated axons that extend between the cerebral hemispheres are called,ms_marco,Ranking Error,1
what is the average pay per week when u r a lawyer criminology,ms_marco,Semantic Miss,0
how to delete a contact i added to my email hotmail,ms_marco,Ranking Error,1
what is zinc oxide used for,ms_marco,Lexical Miss,0
what does night auditor at hotel do,ms_marco,Ranking Error,1
what is clitoridectomy,ms_marco,Ranking Error,1
UCF tuition per credit hour,ms_marco,Ranking Error,1
do arteries and veins actually connect,ms_marco,Ranking Error,1
what does it cost to repair a rotator cuff tear?,ms_marco,Ranking Error,1
rights based theory definition,ms_marco,Semantic Miss,0
types of unsaturated fats,ms_marco,Ranking Error,1
cost of us postage stamp today,ms_marco,Semantic Miss,0
what is the average temperature of argentina,ms_marco,Ranking Error,1
what phase electrical is residential,ms_marco,Ranking Error,1
what were the frontier wars,ms_marco,Ranking Error,1
what is the manufacturing process of materials,ms_marco,Ranking Error,1
how much per square foot to install acoustical ceiling,ms_marco,Ranking Error,1
what is the plate tectonic of the rainforest,ms_marco,Ranking Error,1
what region is ecuador in,ms_marco,Ranking Error,1
how long is cooked chicken good for in fridge,ms_marco,Ranking Error,1
how long to robins nest,ms_marco,Ranking Error,1
genetic material definition,ms_marco,Ranking Error,1
clinical laboratory scientist salary per hour,ms_marco,Semantic Miss,0
what is carbon hydroxide,ms_marco,Ranking Error,1
where is sang nila utama from,ms_marco,Ranking Error,1
types of granite geology,ms_marco,Semantic Miss,0
what age do kittens start eating,ms_marco,Ranking Error,1
what is aneurysm,ms_marco,Ranking Error,1
how to end period early,ms_marco,Ranking Error,1
vitamin d in infants side effects,ms_marco,Ranking Error,1
what is cfc in styrofoam,ms_marco,Ranking Error,1
how much does a neonatal nurse make an hour,ms_marco,Ranking Error,1
what is the crisis of representation,ms_marco,Semantic Miss,0
stress fracture in hip that causes pain in a different location,ms_marco,Semantic Miss,0
where is perrier water produced,ms_marco,Ranking Error,1
where did the first humans emerge,ms_marco,Lexical Miss,0
what is powder coating,ms_marco,Ranking Error,1
sinew definition,ms_marco,Ranking Error,1
do you need lotion tanning bed,ms_marco,Ranking Error,1
what is at exbury gardens,ms_marco,Ranking Error,1
is dunite extrusive or intrusive,ms_marco,Ranking Error,1
what is the largest body of water in africa,ms_marco,Ranking Error,1
what is meloxicam for,ms_marco,Semantic Miss,0
how to invest in bitcoin,ms_marco,Semantic Miss,0
gmu cost per credit,ms_marco,Ranking Error,1
what is the biggest rainforest in the world,ms_marco,Semantic Miss,0
is foam microwavable,ms_marco,Semantic Miss,0
coventry council senior social workers salary,ms_marco,Ranking Error,1
why did the us protest germany use of submarine warfare,ms_marco,Lexical Miss,0
taxi service at amtrak bwi,ms_marco,Ranking Error,1
what is a major cause of arteriosclerosis,ms_marco,Ranking Error,1
buerger's disease definition,ms_marco,Ranking Error,1
common chemical neurotransmitters,ms_marco,Semantic Miss,0
icf foundation cost comparison,ms_marco,Ranking Error,1
how tall is a wall,ms_marco,Ranking Error,1
is licorice a blood thinner,ms_marco,Ranking Error,1
what are dust diseases,ms_marco,Ranking Error,1
how long has it been taking to get results from ancestry dna test,ms_marco,Ranking Error,1
how much money do we spend because of obesity,ms_marco,Semantic Miss,0
safe internal temperature for prime rib,ms_marco,Ranking Error,1
what are germ,ms_marco,Ranking Error,1
cost of cosmetic surgery for eyes,ms_marco,Ranking Error,1
what is jcaho,ms_marco,Semantic Miss,0
explain the dawes act,ms_marco,Semantic Miss,0
what is a sound barrier,ms_marco,Ranking Error,1
what is the average pay for police officers vs the army,ms_marco,Semantic Miss,0
meaning of the name darcy,ms_marco,Ranking Error,1
how can rocks be formed in the earth's lithosphere,ms_marco,Ranking Error,1
what are the discs between the vertebrae made of,ms_marco,Ranking Error,1
what is gelatin made of in marshmallow,ms_marco,Ranking Error,1
the heart and the blood vessels are separate organs that form what,ms_marco,Ranking Error,1
does buckwheat tea have caffeine,ms_marco,Ranking Error,1
common snapdragons scientific name,ms_marco,Ranking Error,1
what is vlcc,ms_marco,Ranking Error,1
where is grand bahama island located,ms_marco,Ranking Error,1
average starting salary mechanical engineer,ms_marco,Semantic Miss,0
what stops r on mexican riviera cruise?,ms_marco,Ranking Error,1
"Plasmodium, the parasitic organism that causes malaria, is a",ms_marco,Ranking Error,1
how is a whale like a human,ms_marco,Semantic Miss,0
how much is m&s prosecco,ms_marco,Ranking Error,1
what is existential therapy,ms_marco,Ranking Error,1
slang definition poetry,ms_marco,Ranking Error,1
how long does it take to heal from a broken ankle surgery,ms_marco,Ranking Error,1
"what advances were made in europe science,math and education during the renaissance",ms_marco,Ranking Error,1
zygomaticus muscles definition,ms_marco,Ranking Error,1
why does respiration take place in organelle,ms_marco,Ranking Error,1
what are bentgrass lawns,ms_marco,Ranking Error,1
what is muscle action,ms_marco,Ranking Error,1
what do you understand by the activation energy of a reaction and how does it relate to collision theory?,ms_marco,Ranking Error,1
cost for admission to disneyland,ms_marco,Ranking Error,1
what level of oxygen is dangerous,ms_marco,Ranking Error,1
why should kids get paid for coming to school,ms_marco,Ranking Error,1
sugars are examples of what type of molecule,ms_marco,Lexical Miss,0
how to find serial number on dell,ms_marco,Ranking Error,1
how was the first pacemaker made,ms_marco,Semantic Miss,0
what made anzac cove so important,ms_marco,Ranking Error,1
what is Polygonum cuspidatum extract,ms_marco,Ranking Error,1
how much does it cost to patent an idea,ms_marco,Ranking Error,1
holds an organism's hereditary information,ms_marco,Ranking Error,1
when did seat belt laws go into effect,ms_marco,Ranking Error,1
what is considered criminal justice organizations,ms_marco,Lexical Miss,0
what is the hindi name for calotropis?,ms_marco,Ranking Error,1
what is brostep,ms_marco,Ranking Error,1
how many different bees are there,ms_marco,Ranking Error,1
what is mal's name,ms_marco,Semantic Miss,0
what does azra mean in arabic,ms_marco,Ranking Error,1
who is nigel bruce,ms_marco,Ranking Error,1
hardwood floor refinishing average cost per square foot,ms_marco,Ranking Error,1
where would peasants live,ms_marco,Ranking Error,1
how to get loose motion,ms_marco,Ranking Error,1
haneefa name meaning in urdu,ms_marco,Ranking Error,1
is lupus curable,ms_marco,Ranking Error,1
what is histiocytoma,ms_marco,Ranking Error,1
how much does truck broker make,ms_marco,Ranking Error,1
pool solar heating cost estimate,ms_marco,Ranking Error,1
can am spyders for sale ebay gold coast,ms_marco,Ranking Error,1
what are garlic supplements good for,ms_marco,Ranking Error,1
what is saturn second largest moon,ms_marco,Semantic Miss,0
what is the hazchem code,ms_marco,Lexical Miss,0
what is bolivia famous for,ms_marco,Ranking Error,1
what is the order of the subunits in a strand of dna is called,ms_marco,Ranking Error,1
function of intestinal epithelial cells,ms_marco,Ranking Error,1
who originally sang all along the watchtower,ms_marco,Ranking Error,1
what is parsley root,ms_marco,Ranking Error,1
what is the difference between polar satellite and geostationary,ms_marco,Ranking Error,1
is xmlhttp data secure,ms_marco,Lexical Miss,0
cost of building factory unit,ms_marco,Ranking Error,1
why did so many psychiatric hospitals close,ms_marco,Ranking Error,1
when does implantation in pregnancy occur,ms_marco,Ranking Error,1
what are crocodiles enemies,ms_marco,Ranking Error,1
where are stress hormones produced,ms_marco,Semantic Miss,0
delta how much to change flight date,ms_marco,Ranking Error,1
garage floor cost,ms_marco,Ranking Error,1
when was the first computer built,ms_marco,Ranking Error,1
glycolysis definition as a pathway for atp,ms_marco,Ranking Error,1
characteristics of the earthquake fault lines,ms_marco,Ranking Error,1
generic name for losartan,ms_marco,Ranking Error,1
how do you get a copy of a divorce decree from hawaii,ms_marco,Lexical Miss,0
what is aice diploma,ms_marco,Lexical Miss,0
what does vinegar consist of,ms_marco,Lexical Miss,0
increased respiratory rate causes,ms_marco,Ranking Error,1
what kingdom is mad cow disease,ms_marco,Ranking Error,1
where is the volcano popocatepetl located in mexico,ms_marco,Ranking Error,1
what kind of climate do truffles grow in,ms_marco,Ranking Error,1
what are the types of creatinine kinase,ms_marco,Semantic Miss,0
sustainability is also referred to as,ms_marco,Semantic Miss,0
is will smith really dead,ms_marco,Semantic Miss,0
how do you prepare beetroot,ms_marco,Lexical Miss,0
what is filtrate,ms_marco,Ranking Error,1
where is benidorm the programme filmed,ms_marco,Ranking Error,1
what is sound of leopard called,ms_marco,Ranking Error,1
what are the ingredients in goat milk,ms_marco,Ranking Error,1
normal rabbit temperature,ms_marco,Semantic Miss,0
what surface is indoor field hockey played on,ms_marco,Ranking Error,1
freud civilization and its discontents summary,ms_marco,Ranking Error,1
what is the plural of census,ms_marco,Ranking Error,1
what is a cumulonimbus cloud?,ms_marco,Semantic Miss,0
what is the function of the trachea yahoo answers,ms_marco,Ranking Error,1
what is beef bulgogi,ms_marco,Ranking Error,1
what is a sensory homunculus,ms_marco,Ranking Error,1
how much does a cat ultrasound cost,ms_marco,Ranking Error,1
why is piccalilli called piccalilli,ms_marco,Ranking Error,1
how much should a party bus cost to hire,ms_marco,Ranking Error,1
Where is the river Ganges and where is its source and length,ms_marco,Ranking Error,1
can i do a group calls on skype international,ms_marco,Semantic Miss,0
inflamed bowel disease,ms_marco,Ranking Error,1
what do they use bear bile for,ms_marco,Ranking Error,1
where are fatty acids derived from,ms_marco,Lexical Miss,0
what does a fbc blood test check for,ms_marco,Ranking Error,1
average salary for an assistant greenskeeper at a golf course,ms_marco,Semantic Miss,0
how much do you get for uber referral,ms_marco,Ranking Error,1
what time was treaty of versailles signed at,ms_marco,Ranking Error,1
average salary of a ups driver,ms_marco,Semantic Miss,0
what is another name for infectious diseases,ms_marco,Ranking Error,1
what fault is near ecuador,ms_marco,Ranking Error,1
how fast does it take u to get your settlement check after it is settled,ms_marco,Ranking Error,1
what type of comedy does rowan atkinson use,ms_marco,Ranking Error,1
proclamation definition legal,ms_marco,Ranking Error,1
who is leanne brown married to,ms_marco,Ranking Error,1
who was the australian constitution written for,ms_marco,Ranking Error,1
source of radioactive gaseous radon in homes,ms_marco,Semantic Miss,0
what biome is the netherlands in,ms_marco,Semantic Miss,0
how to keep hard boiled eggs from cracking during boiling,ms_marco,Ranking Error,1
the medial concavity of the kidney is called the,ms_marco,Ranking Error,1
is amelanchier asiatica ballerina american,ms_marco,Lexical Miss,0
who will gloria vanderbilt leave her money to,ms_marco,Ranking Error,1
generic name for lovaza,ms_marco,Ranking Error,1
what are uses of mercury,ms_marco,Ranking Error,1
why do fillings hurt when they touch metal,ms_marco,Ranking Error,1
did russia make it to the moon first,ms_marco,Ranking Error,1
how much money do NFL games bring in?,ms_marco,Ranking Error,1
what is a kilogram,ms_marco,Ranking Error,1
what is an inguinal hernia how is it usually repaired,ms_marco,Ranking Error,1
how much digital perm cost,ms_marco,Ranking Error,1
what prompted the civil rights movement,ms_marco,Ranking Error,1
anaerobic exercise meaning,ms_marco,Ranking Error,1
what is a normal fever temperature for adults,ms_marco,Ranking Error,1
what is dutch lap vinyl siding,ms_marco,Ranking Error,1
do.muslims not believe the holocaust happened,ms_marco,Ranking Error,1
reagan is a good president APUSH,ms_marco,Ranking Error,1
per diem rates conus,ms_marco,Ranking Error,1
what are the differences between a male and female pelvis,ms_marco,Semantic Miss,0
why was archduke shot,ms_marco,Semantic Miss,0
where is great wall china located,ms_marco,Ranking Error,1
what are psilocybin,ms_marco,Ranking Error,1
what kind of animal is a penguin,ms_marco,Ranking Error,1
how to use a push mower,ms_marco,Ranking Error,1
what was the last year for the trailblazer,ms_marco,Ranking Error,1
what is egmont cheese,ms_marco,Ranking Error,1
what genre is thomas hardy's poetry,ms_marco,Semantic Miss,0
medicare ppo what does it cover,ms_marco,Ranking Error,1
the other side lyrics evanescence,ms_marco,Ranking Error,1
yeast infections are caused by quizlet,ms_marco,Ranking Error,1
what do sensory nerves do,ms_marco,Semantic Miss,0
proteins are synthesized (made) at what organelle in the cytosol,ms_marco,Ranking Error,1
average writing speed by age,ms_marco,Ranking Error,1
