dataset,query_idx,query_type,system,query,recall@1,recall@3,recall@5,mrr,latency_ms
MS-MARCO,992,exact,dense,what is comfrey good for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,993,exact,dense,what does uber alles mean,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,994,exact,dense,how many hours does the average person volunteer,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,995,exact,dense,what makes a disease monogenic,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,996,exact,dense,what is the name of the sugar molecule in the dna helix,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,997,exact,dense,how to stimulate my brain,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,998,exact,dense,average amount spent on textbooks per semester,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,999,exact,dense,what is vestibular rehabilitation,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1000,exact,dense,what preacher's name is lester felty,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1001,exact,dense,what type of climate is hay grown in,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1002,exact,dense,does windows phones have apps,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1003,exact,dense,what did aristotle believe earth was made of,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1004,exact,dense,what is the submandibular gland function,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1005,exact,dense,who originally sang all along the watchtower,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1006,exact,dense,how long it takes to get mcse,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1007,exact,dense,where is nicaragua located on the map,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1008,exact,dense,how long should you bake chicken legs,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1009,exact,dense,examples of opportunistic fungi,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1010,exact,dense,how long does it take to cook a turkey on gas grill,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1011,exact,dense,what is the thyroid responsible for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1012,exact,dense,jargon define,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1013,exact,dense,what is the difference turmeric root from ginger root,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1014,exact,dense,required amount of fiber per day,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1015,exact,dense,what is a system boiler,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1016,exact,dense,what bachelor degrees can get you into law,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1017,exact,dense,what is another name for skeletal muscle tissue,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1018,exact,dense,how much is physician assistant program,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1019,exact,dense,do planks work abs,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1020,exact,dense,screening test definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1021,exact,dense,what is a cheesecloth used for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1022,exact,dense,how to cure stomach cramps,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1023,exact,dense,caspian name definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1024,exact,dense,history of the civil war era time period,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1025,exact,dense,how long does it take for kidney stones to pass,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1026,exact,dense,Liquid Measurements Metric,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1027,exact,dense,what is biphasic action potential,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1028,exact,dense,gene family definition,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1029,exact,dense,what is the difference between scripting language and programming language,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1030,exact,dense,what is uncas jewelry,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1031,exact,dense,lpn average salary canada,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1032,exact,dense,getting rid of hornworms tomatoes,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1033,exact,dense,what level of oxygen is dangerous,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1034,exact,dense,what did gerhard domagk invent,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1035,exact,dense,how does stress affect teenagers health,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1036,exact,dense,what does adipose tissue do,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1037,exact,dense,what is the longest english word,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1038,exact,dense,example of a dictatorship,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1039,exact,dense,who named the cell phone,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1040,exact,dense,how are human mitochondria inherited,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1041,exact,dense,lancelot definition,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1042,exact,dense,what is atrial myocardial function,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1043,exact,dense,what is foh manager,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1044,exact,dense,should i turn off my ice maker when going away for a few months ?,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1045,exact,dense,what are berms,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1046,exact,dense,when should i start heartworm medication,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1047,exact,dense,don bradman where was he born,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1048,exact,dense,largest sausage in the world,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1049,exact,dense,what is sleights north yorkshire like,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1050,exact,dense,cost to reside a house in vinyl,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1051,exact,dense,HOW TO INSTALL RELAY BOARD ON WALL OVEN,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1052,exact,dense,how many eggs does a mallard lay,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1053,exact,dense,who did the early christian persecution,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1054,exact,dense,calories in a egg,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1055,exact,dense,definition of kehilla,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1056,exact,dense,what are regional movements that occur in the small intestine and function to churn and fragment the digestive materials,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1057,exact,dense,dental hygienist salary alberta,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1058,exact,dense,what makes it a persian rug,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1059,exact,dense,meaning of name takaki,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1060,exact,dense,what county is berkeley ca,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1061,exact,dense,salary of physiotherapist,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1062,exact,dense,what temperature can aloe survive,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1063,exact,dense,what is the carbohydrates that is your body primary source of energy,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1064,exact,dense,what is a birthstone,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1065,exact,dense,what is a monoprint in art,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1066,exact,dense,where are the savannas in africa,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1067,exact,dense,what does anpr check,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1068,exact,dense,can i take antihistamines with doxycycline,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1069,exact,dense,rashim name meaning,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1070,exact,dense,how long to cook a pork tenderloin in oven,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1071,exact,dense,Synonyms for the Word Hungry,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1072,exact,dense,what kind of food is offered at seder,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1073,exact,dense,does surface pro has hotspot,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1074,exact,dense,after cooked how soon to fridge,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1075,exact,dense,how to restore straight razors,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1076,exact,dense,how many pounds of coffee are roasted during small batch roasting,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1077,exact,dense,what age do freckles disappear,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1078,exact,dense,how much nicotine is considered a lethal dose for humans,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1079,exact,dense,where is majorca,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1080,exact,dense,significance of the golden gate bridge,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1081,exact,dense,where is dilley texas,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1082,exact,dense,what is the strongest type steel,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1083,exact,dense,what is a unsaturated compound,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1084,exact,dense,buying a car dealer vs. private seller,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1085,exact,dense,how to find calculated t value,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1086,exact,dense,what does embarrassed,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1087,exact,dense,how much does truck broker make,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1088,exact,dense,what are donairs,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1089,exact,dense,what does a snake bite look like,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1090,exact,dense,what type of muscle is responsible for contractions of the digestive tract and arteries,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1091,exact,dense,what is interpreter,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1092,exact,dense,what does ionic mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1093,exact,dense,what is a marginal habitat,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1094,exact,dense,what distinguish an algorithm from a method,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1095,exact,dense,how much was a new brough superior,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1096,exact,dense,does nioxin work on patch hair loss,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1097,exact,dense,where does insulin come from,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1098,exact,dense,what are the three types of pollution,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1099,exact,dense,what is a PICO,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1100,exact,dense,kelsey name meaning,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1101,exact,dense,each state is guaranteed how many representatives what is representation based on,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1102,exact,dense,what are bentgrass lawns,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1103,exact,dense,what are flavonoids in marijuana,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1104,exact,dense,cystic fibrosis what other names for this disorder,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1105,exact,dense,where is a floodplain,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1106,exact,dense,cost of hydrogen steam reforming,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1107,exact,dense,what does carino mean,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1108,exact,dense,how to roast a small prime rib roast,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1109,exact,dense,proteins are synthesized (made) at what organelle in the cytosol,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1110,exact,dense,how to auto power off pc,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1111,exact,dense,what is group dynamics definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1112,exact,dense,best temperature to keep a flowerhorn in,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1113,exact,dense,how much should a dog drink,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1114,exact,dense,what is electric charge physics,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1115,exact,dense,how many stomach does a cow have,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1116,exact,dense,what is a memoir,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1117,exact,dense,what is the vesica piscis,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1118,exact,dense,what color is our blood,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1119,exact,dense,how much does a termite bond cost,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1120,exact,dense,how long should I keep credit card bills?,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1121,exact,dense,what does jolie blon mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1122,exact,dense,at what age does the average person start walking,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1123,exact,dense,what is rootkit scan,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1124,exact,dense,define renal insufficiency,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1125,exact,dense,meaning of protagonist,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1126,exact,dense,how much does it cost to run an electric pool heater,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1127,exact,dense,how much is a kitchen remodel,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1128,exact,dense,what does unremarkable mean on a liver mri,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1129,exact,dense,how much does a notary house call cost?,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1130,exact,dense,name of actress who played wonder woman on tv,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1131,exact,dense,when was rugby founded,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1132,exact,dense,is it safe for dogs to bugs,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1133,exact,dense,what is pneumovax,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1134,exact,dense,what does the endoplasmic reticulum do in an animal cell,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1135,exact,dense,pnf stretching golgi tendon organ,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1136,exact,dense,what is PVF meaning,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1137,exact,dense,understanding albumin creatinine ratio,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1138,exact,dense,when was the first tv made,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1139,exact,dense,where is amherstburg located,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1140,exact,dense,how to measure for cement slab,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1141,exact,dense,what is the primary function of the thyroid hormones quizlet,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1142,exact,dense,cost of land clearing per acre,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1143,exact,dense,meters to feet,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1144,exact,dense,what is a retainer fee,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1145,exact,dense,what does signior mean,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1146,exact,dense,what does the american pika do,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1147,exact,dense,what does anti fouled mean,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1148,exact,dense,average temperature in ashtabula ohio in may,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1149,exact,dense,what is manipuri language,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1150,exact,dense,what is iberian peninsula,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1151,exact,dense,natal meaning,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1152,exact,dense,do lice bites scar,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1153,exact,dense,what is housemaids knee,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1154,exact,dense,are vitamins organic or inorganic,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1155,exact,dense,how much does petco training cost,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1156,exact,dense,can i stream the food channel,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1157,exact,dense,what foods to eat for leg cramps,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1158,exact,dense,how do you cite a movie quote in a paper,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1159,exact,dense,how long are avocados good for,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1160,exact,dense,where is bilbao in spain is it near the coast,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1161,exact,dense,what does botox do,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1162,exact,dense,cause of erdheim-chester disease,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1163,exact,dense,what is the function heart,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1164,exact,dense,do anaerobic bacteria have catalase,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1165,exact,dense,what is lagna in astrology,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1166,exact,dense,can you cable a mimosa tree,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1167,exact,dense,will walking burn fat,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1168,exact,dense,what are anabolic osteoporosis medications for,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1169,exact,dense,where is bickley,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1170,exact,dense,which structure in the kidneys nephrons is mainly responsible,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1171,exact,dense,how long to heal a fractured ankle,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1172,exact,dense,what is mogas,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1173,exact,dense,when do you send out rehearsal dinner invitations,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1174,exact,dense,what was the original colour of a merlin engine,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1175,exact,dense,is reducing substance in infants stool curable ?,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1176,exact,dense,the opponent process theory of color vision,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1177,exact,dense,what makes you an independent student for financial aid,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1178,exact,dense,what is a trade bloc,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1179,exact,dense,cost of pet insurance per month,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1180,exact,dense,where does the mucus coming from lungs or throat?,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1181,exact,dense,what physiographic province is granite mine located?,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1182,exact,dense,does ringworm itch,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1183,exact,dense,what causes overactive nerves,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1184,exact,dense,what is the link between alveoli and capillaries,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1185,exact,dense,how long to cook brisket in oven,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1186,exact,dense,are ionic bonds strong,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1187,exact,dense,what does landrace mean,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1188,exact,dense,what is function of glutamate,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1189,exact,dense,orlando bloom movies,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1190,exact,dense,how to get rid of bacne scars fast,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1191,exact,dense,what pressure is the eye of the hurricane,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1192,exact,dense,private investigator salary per hour,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1193,exact,dense,what kind of jobs did the anglo saxons have,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1194,exact,dense,average salary in dominican republic,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1195,exact,dense,how do property managers charge,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1196,exact,dense,when was pompeia born,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1197,exact,dense,what types of cells do seminal vesicles contain?,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1198,exact,dense,can i listen to spotify without wifi,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1199,exact,dense,what are marionberries,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1200,exact,dense,what does malaika mean,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1201,exact,dense,The republic was also known as a socialist government.,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1202,exact,dense,how to insert excel file to omron plc,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1203,exact,dense,what functional group is acetaminophen,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1204,exact,dense,what does the nucleus do in a plant cell,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1205,exact,dense,what is the meaning of name jadon,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1206,exact,dense,nys dba filing fee,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1207,exact,dense,name meanings indigo,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1208,exact,dense,where are the prostate glands located,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1209,exact,dense,what age should children get the pneumococcal vaccine?,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1210,exact,dense,what causes pain in muscle,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1211,exact,dense,what is love susan polis schutz,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1212,exact,dense,is cholesterol only found in animal products,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1213,exact,dense,what is a normal ejection fraction range,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1214,exact,dense,is quartzite formed by burial metamorphism,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1215,exact,dense,average tuition for degree in early education southeastern,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1216,exact,dense,where does lavender grow in the world,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1217,exact,dense,what is classical ballet,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1218,exact,dense,how much is a meter stamp,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1219,exact,dense,how much do sales professional at geico make,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1220,exact,dense,what does myelogenous mean,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1221,exact,dense,best time to visit denmark,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1222,exact,dense,definition occupational therapy,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1223,exact,dense,protocol definition computing,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1224,exact,dense,requirements for being a correctional officer,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1225,exact,dense,how much is m&s prosecco,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1226,exact,dense,rib cage definition,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1227,exact,dense,dental cap cost,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1228,exact,dense,what is a prepared statement,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1229,exact,dense,highest salaries in chemistry,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1230,exact,dense,who is affected by scarlet fever,0.0,0.0,1.0,0.25,0.2739
MS-MARCO,1231,exact,dense,what are the nutrients in the phosphorus cycle,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1232,exact,dense,where is foshan in china map,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1233,exact,dense,who invented the motorcycle,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1234,exact,dense,what is a flagstaff,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1235,exact,dense,average pay cleaning lady,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1236,exact,dense,time and temperature to cook pork tenderloin,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1237,exact,dense,how long does it take for a cat to give birth,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1238,exact,dense,how much room does a chicken need in coop,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1239,exact,dense,standard deduction for dependent,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1240,exact,dense,what is polyurethane used for,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1241,exact,dense,radon is,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1242,exact,dense,is hymenolepis a protozoan,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1243,exact,dense,what is jenny,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1244,exact,dense,cost to replace basement windows,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1245,exact,dense,average annual income orthodontist,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1246,exact,dense,when was the walt disney company founded,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1247,exact,dense,who wrote a dog of flanders crossword,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1248,exact,dense,what is amoebas,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1249,exact,dense,what is snmp used for,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1250,exact,dense,average annual temperature of Uruguay,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1251,exact,dense,what is dbp in nail polish,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1252,exact,dense,what is properties or characteristics of magnesium,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1253,exact,dense,what is jcaho,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1254,exact,dense,what is mycoplasma pneumoniae,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1255,exact,dense,an inflammation of the lungs commonly caused by a bacterial or viral infection,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1256,exact,dense,what is blood pudding in ireland,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1257,exact,dense,what is the chemical name for limestone,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1258,exact,dense,when was akhenaten born,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1259,exact,dense,what is intrauterine blood transfusion,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1260,exact,dense,what kinds of food are starches,1.0,1.0,1.0,1.0,0.2739
MS-MARCO,1261,exact,dense,what is a unicorn,0.0,0.0,1.0,0.2,0.2739
MS-MARCO,1262,exact,dense,what are the short branched extensions on a nerve called,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1263,exact,dense,what is the star wars galaxy called,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1264,exact,dense,anaerobic cellular respiration,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1265,exact,dense,difference between grams and grams force,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1266,exact,dense,fence installation cost,0.0,1.0,1.0,0.3333333333333333,0.2739
MS-MARCO,1267,exact,dense,what is the rural urban fringe,0.0,0.0,0.0,0.0,0.2739
MS-MARCO,1268,exact,dense,causes of pain in elbow area,0.0,1.0,1.0,0.5,0.2739
MS-MARCO,1269,exact,dense,sudden weight loss medical term,0.0,1.0,1.0,0.3333333333333333,0.2739
